Time,SNN_Lat,ANN_Lat,R,G,B,SNN_Act,ANN_Act
14.85,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
14.905,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
14.96,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
15.015,8.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.07,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.125,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.18,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
15.235,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
15.290000000000001,8.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.345,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.4,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.455,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.51,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
15.565,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
15.62,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
15.675,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
15.73,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
15.785,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
15.84,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
15.895,8.0,1656.0,0.0,0.0,0.0,2.0,2.0
15.95,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.005,8.0,1656.0,0.0,0.0,0.0,2.0,2.0
16.06,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.115,8.0,1656.0,0.0,0.0,0.0,2.0,2.0
16.17,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.225,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.28,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.335,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.39,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.445,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
16.5,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
16.555,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
16.61,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
16.665,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
16.72,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
16.775,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
16.830000000000002,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
16.885,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
16.94,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
16.995,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.05,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
17.105,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.16,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
17.215,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.27,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.325,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.38,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
17.435,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
17.49,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
17.545,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
17.6,12.0,1648.0,0.0,0.0,0.0,2.0,2.0
17.655,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.71,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
17.765,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.82,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
17.875,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
17.93,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
17.985,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.04,12.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.095,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.15,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
18.205000000000002,12.0,1656.0,0.0,0.0,0.0,2.0,2.0
18.26,8.0,1648.0,0.0,0.0,0.0,2.0,2.0
18.315,8.0,1652.0,0.0,0.0,0.0,2.0,2.0
18.37,8.0,1660.0,0.0,0.0,0.0,2.0,2.0
